2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:31:<module>:INFO: Started crawler
2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:100:<module>:INFO: Crawling for: ['waltmossberg']
2012-04-10 11:19:18,322:twitter_crawl_friends_and_followers:56:crawl:INFO: Getting user info
2012-04-10 11:19:18,322:twitter__util:110:getUserInfo:DEBUG: entering
2012-04-10 11:19:18,322:twitter__util:119:getUserInfo:INFO: Retrieving user info for 1 screen names and 0 user ids
2012-04-10 11:19:18,322:twitter__util:123:getUserInfo:DEBUG: screen_name while loop: Found 1 screen names
2012-04-10 11:19:18,322:twitter__util:126:getUserInfo:DEBUG: waltmossberg
2012-04-10 11:19:18,323:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:144:getUserInfo:INFO: Completed user info search for 1 screen names
2012-04-10 11:19:18,780:twitter__util:80:_getFriendsOrFollowersUsingFunc:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:86:_getFriendsOrFollowersUsingFunc:DEBUG: while loop: cursor = -1
2012-04-10 11:19:18,781:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:19,105:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 296669226
2012-04-10 11:19:19,105:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 296678089
2012-04-10 11:19:19,106:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 297612723
2012-04-10 11:19:19,106:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 224180296
2012-04-10 11:19:19,106:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 120191326
2012-04-10 11:19:19,107:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 24814519
2012-04-10 11:19:19,108:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 321628889
2012-04-10 11:19:19,108:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15705567
2012-04-10 11:19:19,108:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17910058
2012-04-10 11:19:19,109:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 6385432
2012-04-10 11:19:19,109:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 28171178
2012-04-10 11:19:19,110:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16129633
2012-04-10 11:19:19,110:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 1977301
2012-04-10 11:19:19,110:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16228398
2012-04-10 11:19:19,111:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 858051
2012-04-10 11:19:19,111:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 93957809
2012-04-10 11:19:19,111:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17104751
2012-04-10 11:19:19,112:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 13
2012-04-10 11:19:19,112:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 13348
2012-04-10 11:19:19,112:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 13565472
2012-04-10 11:19:19,113:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19885694
2012-04-10 11:19:19,113:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15064389
2012-04-10 11:19:19,113:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16915458
2012-04-10 11:19:19,114:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14948196
2012-04-10 11:19:19,114:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17503180
2012-04-10 11:19:19,115:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 23145378
2012-04-10 11:19:19,115:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 817386
2012-04-10 11:19:19,115:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 173971354
2012-04-10 11:19:19,116:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 23383095
